A_k,Distance,H_absolute,J_absolute,K_absolute,K_apparent,Teff,[Fe/H],logg
1.40638,1.0196588310287928,-2.4084639732808943,-1.8298289606583482,-2.508654424561273,8.94,3637.79198085,-0.162996964174,0.991446727965
-0.0174421,0.4172588923228844,-0.15661728679676237,0.26432191831811686,-0.22602800411542442,7.876,5265.93971014,-0.889427010132,2.89401435948
0.910656,2.3428357113468707,-4.244842269461581,-3.471748705031078,-4.449365176324355,8.31,3827.72319346,0.025606434544,0.982751432161
1.84151,nan,nan,nan,nan,8.522,3348.44760359,-0.487551206457,-0.0514196300963
0.11475,2.110495688356503,-1.2707926438274213,-0.8193945014173212,-1.3446723462405947,10.392,5080.34396887,-1.47947491826,2.39825962448
0.227663,nan,nan,nan,nan,9.834,4759.3603684,0.330534781306,2.71698566012
0.498474,2.3646249935118617,-5.410563954836696,-4.587624579614543,-5.651285378303495,6.716,3736.47939809,-0.403489476144,0.418043616455
1.60466,2.670133273730351,-4.670344591657819,-3.847904451202183,-4.89032469371646,8.847,3725.63179541,0.0313493230874,0.878759225232
0.047736,2.2081507283746125,-1.3160664385246987,-0.8659790045523271,-1.389879575057415,10.378,5051.88328328,-1.53541926274,2.35096705688
0.300187,nan,nan,nan,nan,10.078,4588.95490631,0.423698592159,2.40056682558
0.10098,2.590288090904967,-1.322517102639713,-0.900641272491013,-1.392720344213906,10.775,5261.36133056,-1.30035240645,2.40140303526
0.0881277,1.6842827534949234,-1.0570507431542737,-0.643169786890337,-1.1262027081888821,10.094,5304.76664798,-1.34709652859,2.51323928795
1.9636,0.6606280782297856,-3.769013058957408,-3.2065910864930527,-3.865385141366081,7.198,3388.47673327,-0.376863647222,0.119526213522
0.359856,1.2618820070993455,-1.8249814074641777,-1.2089005191557711,-1.938949739432157,8.926,4434.90936524,0.24577812068,2.20465919707
1.62302,6.256425373986369,-6.021662477846942,-5.144264397527784,-6.329651343557178,9.275,3432.90843971,-0.255907756772,0.175705725636
0.364446,nan,nan,nan,nan,10.409,4778.48518414,0.402364692128,2.57800581435
1.64781,nan,nan,nan,nan,5.691,3635.35430368,-1.42683435951,0.81943749015
0.884034,nan,nan,nan,nan,9.909,4224.3010374,0.306806461325,1.77829495339
1.72951,1.0345217315510409,-3.5387455810438673,-2.9711630590964986,-3.636208090250776,8.167,3434.81933281,-0.283546766784,0.297635518078
1.5505,2.355451711342192,-3.554710542997854,-2.957929301009922,-3.660871026393679,9.75,3643.56984526,0.0248848292303,0.851688899582
0.147798,1.2444750729419527,-0.3878487034537808,0.18981960925683344,-0.48772901017834464,10.135,4710.65172988,0.2762739143,2.82136453748
1.15025,2.487324136231032,-3.771937194766452,-3.025421202676605,-3.9629119207281427,9.166,3991.6881942,0.161671974477,1.2371705777
-9999.99,2.326805155078584,0.03317040184827515,0.5549515030530459,-0.05280008657307913,11.781,4816.80615105,0.163722734525,2.99700492368
-9999.99,4.290458464523163,-1.499511267703549,-1.021855848030207,-1.571518509844517,11.591,4611.07249654,-1.61486182737,1.85885074931
0.334152,3.857688849263206,-1.511623343358218,-0.9544705706843468,-1.593787978517638,11.672,4469.26625178,-0.938735697547,1.98917082465
